from,to,relation,source
VerlagA,VerlagA,14,4
VerlagA,Tillschneider,14,4
VerlagA,RING,14,4
VerlagA,Bystron,14,4
VerlagA,Bosselmann,14,4
VerlagA,Stegemann,14,4
VerlagA,Oery,14,4
VerlagA,Tichy,14,4
VerlagA,Novak,14,4
VerlagA,FMagazin,14,4
VerlagA,Berg,14,4
VerlagA,EIF,14,4
VerlagA,Poensgen,14,4
VerlagA,WOA,14,4
VerlagA,BDK,14,4
VerlagA,Yilmaz,14,4
VerlagA,Lusinchi,14,4
VerlagA,Eysseric,14,4
VerlagA,REE,14,4
VerlagA,BON,14,4
VerlagA,FRB,14,4
VerlagA,Bender,14,4
VerlagA,Lau,14,4
VerlagA,Hermann,14,4
VerlagA,Serrao,14,4
VerlagA,M,14,4
VerlagA,Scheil,14,4
VerlagA,EinsP,14,4
VerlagA,Gerke,14,4
VerlagA,Dittus,14,4
VerlagA,Wessels,14,4
VerlagA,MAN,14,4
VerlagA,Hoecke,14,4
VerlagA,DT,14,4
VerlagA,DE,14,4
VerlagA,Pasemann,14,4
VerlagA,Raskolnikow,14,4
VerlagA,Stieferle,14,4
VerlagA,Rheinberger,14,4
VerlagA,KaiserA,14,4
VerlagA,Sellner,14,4
VerlagA,RVE,14,4
VerlagA,Michel,14,4
VerlagA,RLV,14,4
VerlagA,SteinB,14,4
VerlagA,DEC,14,4
VerlagA,AUV,14,4
VerlagA,VEE,14,4
VerlagA,ARVerlag,14,4
VerlagA,VerlagJE,14,4
VerlagA,KaiserB,14,4
VerlagA,Wegner,14,4
VerlagA,ASVerlag,14,4
VerlagA,RGV,14,4
VerlagA,SZSDE,14,4
VerlagA,IFS,18,5
VerlagA,ARVerlag,18,5
VerlagA,CP,18,5
VerlagA,VerlagJE,18,5
VerlagA,KAV,18,5
VerlagA,MANU,18,5
VerlagA,RGV,18,5
VerlagA,QKR,18,5
VerlagA,VBU,18,5
VerlagA,BNA,18,5
VerlagA,deBenoist,11,5
VerlagA,Borrmann,11,5
VerlagA,Camus,11,5
VerlagA,DiTullio,11,5
VerlagA,Donavan,11,5
VerlagA,Fernau,11,5
VerlagA,Gerlich,11,5
VerlagA,Heidegger,11,5
VerlagA,Hinz,11,5
VerlagA,KaiserB,11,5
VerlagA,KleineHartlage,11,5
VerlagA,Kositza,11,5
VerlagA,Kubitschek,5,5
VerlagA,Kubitschek,12,5
VerlagA,Kubitschek,11,5
VerlagA,Lange,11,5
VerlagA,Lehnert,11,5
VerlagA,Lichtmesz,11,5
VerlagA,Lisson,11,5
VerlagA,Menzel,11,5
VerlagA,Millet,11,5
VerlagA,Mohler,11,5
VerlagA,Mohr,11,5
VerlagA,deMontherland,11,5
VerlagA,MuellerA,11,5
VerlagA,MuellerB,11,5
VerlagA,Nolte,11,5
VerlagA,Pirincci,11,5
VerlagA,Raspail,11,5
VerlagA,Scheil,11,5
VerlagA,Schleyer,11,5
VerlagA,Scholdt,11,5
VerlagA,Schuesslburner,11,5
VerlagA,Sellner,11,5
VerlagA,Sieferle,11,5
VerlagA,Sommerfeld,11,5
VerlagA,Thalheim,11,5
VerlagA,Ulfkotte,11,5
VerlagA,Vonderach,11,5
VerlagA,vonWaldstein,11,5
VerlagA,Weissmann,11,5
VerlagA,Willms,11,5
VerlagA,Zehm,11,5